State,Year,Total_energy,ENERGY_Unit
NE,1982,158255,Billion Btu
NE,1981,125310,Billion Btu
NE,1980,121796,Billion Btu
NE,1979,149663,Billion Btu
NE,1978,137769,Billion Btu
NE,1977,134171,Billion Btu
NE,1976,119514,Billion Btu
NE,1975,119135,Billion Btu
NE,1974,102452,Billion Btu
NE,1973,70136,Billion Btu
NE,1972,71805,Billion Btu
NE,1971,78821,Billion Btu
NE,1970,89355,Billion Btu
NE,1969,92900,Billion Btu
NE,1968,100658,Billion Btu
NE,1967,101303,Billion Btu
NE,1966,106179,Billion Btu
NE,1965,125858,Billion Btu
NE,1964,137751,Billion Btu
NE,1963,156016,Billion Btu
NE,1962,174716,Billion Btu
NE,1961,172537,Billion Btu
NE,1960,169409,Billion Btu
NV,2016,89544,Billion Btu
NV,2015,76598,Billion Btu
NV,2014,69333,Billion Btu
NV,2013,68462,Billion Btu
NV,2012,58604,Billion Btu
NV,2011,52314,Billion Btu
NV,2010,51023,Billion Btu
NV,2009,49245,Billion Btu
NV,2008,40375,Billion Btu
NV,2007,40055,Billion Btu
NV,2006,40789,Billion Btu
NV,2005,37072,Billion Btu
NV,2004,37012,Billion Btu
NV,2003,36444,Billion Btu
NV,2002,42635,Billion Btu
NV,2001,46736,Billion Btu
NV,2000,48346,Billion Btu
NV,1999,53083,Billion Btu
NV,1998,57757,Billion Btu
NV,1997,53973,Billion Btu
NV,1996,49257,Billion Btu
NV,1995,48123,Billion Btu
NV,1994,48955,Billion Btu
NV,1993,51512,Billion Btu
NV,1992,58440,Billion Btu
NV,1991,58811,Billion Btu
NV,1990,52932,Billion Btu
NV,1989,48889,Billion Btu
NV,1988,42653,Billion Btu
NV,1987,46549,Billion Btu
NV,1986,68958,Billion Btu
NV,1985,67608,Billion Btu
NV,1984,74118,Billion Btu
NV,1983,51890,Billion Btu
NV,1982,22265,Billion Btu
NV,1981,25854,Billion Btu
NV,1980,32507,Billion Btu
NV,1979,26967,Billion Btu
NV,1978,25685,Billion Btu
NV,1977,22215,Billion Btu
NV,1976,18287,Billion Btu
NV,1975,19494,Billion Btu
NV,1974,18511,Billion Btu
NV,1973,18913,Billion Btu
NV,1972,17854,Billion Btu
NV,1971,19307,Billion Btu
NV,1970,19186,Billion Btu
NV,1969,20064,Billion Btu
NV,1968,20714,Billion Btu
NV,1967,20603,Billion Btu
NV,1966,21412,Billion Btu
NV,1965,18756,Billion Btu
NV,1964,19321,Billion Btu
NV,1963,20488,Billion Btu
NV,1962,22551,Billion Btu
NV,1961,20439,Billion Btu
NV,1960,22267,Billion Btu
NH,2016,163478,Billion Btu
NH,2015,152673,Billion Btu
NH,2014,161839,Billion Btu
NH,2013,167007,Billion Btu
NH,2012,129990,Billion Btu
NH,2011,132424,Billion Btu
NH,2010,157531,Billion Btu
NH,2009,137581,Billion Btu
NH,2008,137613,Billion Btu
NH,2007,147707,Billion Btu
NH,2006,131170,Billion Btu
NH,2005,139970,Billion Btu
NH,2004,141054,Billion Btu
NH,2003,126527,Billion Btu
NH,2002,125950,Billion Btu
NH,2001,120964,Billion Btu
NH,2000,121237,Billion Btu
NH,1999,129573,Billion Btu
NH,1998,128574,Billion Btu
NH,1997,126018,Billion Btu
NH,1996,151032,Billion Btu
NH,1995,127522,Billion Btu
NH,1994,105198,Billion Btu
NH,1993,137475,Billion Btu
NH,1992,124603,Billion Btu
NH,1991,112058,Billion Btu
NH,1990,90006,Billion Btu
NH,1989,40566,Billion Btu
NH,1988,36549,Billion Btu
NH,1987,34985,Billion Btu
NH,1986,38742,Billion Btu
NH,1985,33807,Billion Btu
NH,1984,35004,Billion Btu
NH,1983,38209,Billion Btu
NH,1982,33759,Billion Btu
NH,1981,36067,Billion Btu
NH,1980,32382,Billion Btu
NH,1979,33548,Billion Btu
NH,1978,31004,Billion Btu
NH,1977,31271,Billion Btu
NH,1976,31050,Billion Btu
NH,1975,25853,Billion Btu
NH,1974,28694,Billion Btu
NH,1973,30671,Billion Btu
NH,1972,26131,Billion Btu
NH,1971,24733,Billion Btu
NH,1970,25321,Billion Btu
NH,1969,27816,Billion Btu
NH,1968,25155,Billion Btu
NH,1967,24089,Billion Btu
NH,1966,24343,Billion Btu
NH,1965,22019,Billion Btu
NH,1964,23707,Billion Btu
NH,1963,24450,Billion Btu
NH,1962,25119,Billion Btu
NH,1961,23327,Billion Btu
NH,1960,25629,Billion Btu
NJ,2016,363924,Billion Btu
NJ,2015,399260,Billion Btu
NJ,2014,383791,Billion Btu
NJ,2013,398511,Billion Btu
NJ,2012,389755,Billion Btu
NJ,2011,388669,Billion Btu
NJ,2010,377491,Billion Btu
NJ,2009,392825,Billion Btu
NJ,2008,359639,Billion Btu
NJ,2007,356147,Billion Btu
NJ,2006,361581,Billion Btu
NJ,2005,347235,Billion Btu
NJ,2004,309496,Billion Btu
NJ,2003,336341,Billion Btu
NJ,2002,350995,Billion Btu
NJ,2001,347245,Billion Btu
NJ,2000,338360,Billion Btu
NJ,1999,342637,Billion Btu
NJ,1998,323494,Billion Btu
NJ,1997,185268,Billion Btu
NJ,1996,157081,Billion Btu
NJ,1995,219819,Billion Btu
NJ,1994,272752,Billion Btu
NJ,1993,298892,Billion Btu
NJ,1992,264740,Billion Btu
NJ,1991,296061,Billion Btu
NJ,1990,277677,Billion Btu
NJ,1989,278623,Billion Btu
NJ,1988,295141,Billion Btu
NJ,1987,275599,Billion Btu
NJ,1986,197788,Billion Btu
NJ,1985,238434,Billion Btu
NJ,1984,109641,Billion Btu
NJ,1983,129314,Billion Btu
NJ,1982,204666,Billion Btu
NJ,1981,183186,Billion Btu
NJ,1980,131576,Billion Btu
NJ,1979,115019,Billion Btu
NJ,1978,131035,Billion Btu
NJ,1977,113451,Billion Btu
NJ,1976,77679,Billion Btu
NJ,1975,65594,Billion Btu
NJ,1974,74097,Billion Btu
NJ,1973,69377,Billion Btu
NJ,1972,76562,Billion Btu
NJ,1971,68077,Billion Btu
NJ,1970,63823,Billion Btu
NJ,1969,26536,Billion Btu
NJ,1968,24678,Billion Btu
NJ,1967,23695,Billion Btu
NJ,1966,23570,Billion Btu
NJ,1965,23693,Billion Btu
NJ,1964,23947,Billion Btu
NJ,1963,23397,Billion Btu
NJ,1962,21199,Billion Btu
NJ,1961,20749,Billion Btu
NJ,1960,20514,Billion Btu
NM,2016,2582214,Billion Btu
NM,2015,2678832,Billion Btu
NM,2014,2569753,Billion Btu
NM,2013,2373946,Billion Btu
NM,2012,2317287,Billion Btu
NM,2011,2261687,Billion Btu
NM,2010,2256233,Billion Btu
NM,2009,2409618,Billion Btu
NM,2008,2476942,Billion Btu
NM,2007,2530814,Billion Btu
NM,2006,2648709,Billion Btu
NM,2005,2751872,Billion Btu
NM,2004,2734986,Billion Btu
NM,2003,2695965,Billion Btu
NM,2002,2716948,Billion Btu
NM,2001,2780034,Billion Btu
NM,2000,2728279,Billion Btu
NM,1999,2576111,Billion Btu
NM,1998,2596608,Billion Btu
NM,1997,2668877,Billion Btu
NM,1996,2597950,Billion Btu
NM,1995,2685736,Billion Btu
NM,1994,2626293,Billion Btu
NM,1993,2538806,Billion Btu
NM,1992,2311732,Billion Btu
NM,1991,2011411,Billion Btu
NM,1990,1978597,Billion Btu
NM,1989,1847886,Billion Btu
NM,1988,1778149,Billion Btu
NM,1987,1775059,Billion Btu
NM,1986,1694065,Billion Btu
NM,1985,1950514,Billion Btu
NM,1984,1973081,Billion Btu
NM,1983,1854975,Billion Btu
NM,1982,1939668,Billion Btu
NM,1981,2085102,Billion Btu
NM,1980,2117463,Billion Btu
NM,1979,2142099,Billion Btu
NM,1978,2083557,Billion Btu
NM,1977,2102230,Billion Btu
NM,1976,2121712,Billion Btu
NM,1975,2105374,Billion Btu
NM,1974,2164195,Billion Btu
NM,1973,2153300,Billion Btu
NM,1972,2214920,Billion Btu
NM,1971,2205841,Billion Btu
NM,1970,2208470,Billion Btu
NM,1969,2159609,Billion Btu
NM,1968,2166443,Billion Btu
NM,1967,2040912,Billion Btu
NM,1966,1936081,Billion Btu
NM,1965,1844925,Billion Btu
NM,1964,1741976,Billion Btu
NM,1963,1618611,Billion Btu
NM,1962,1587290,Billion Btu
NM,1961,1583834,Billion Btu
NM,1960,1562831,Billion Btu
NY,2016,846027,Billion Btu
NY,2015,875508,Billion Btu
NY,2014,874567,Billion Btu
NY,2013,876344,Billion Btu
NY,2012,820076,Billion Btu
NY,2011,882177,Billion Btu
NY,2010,839439,Billion Btu
NY,2009,872414,Billion Btu
NY,2008,904367,Billion Btu
NY,2007,867426,Billion Btu
NY,2006,878195,Billion Btu
NY,2005,866207,Billion Btu
NY,2004,830908,Billion Btu
NY,2003,819272,Billion Btu
NY,2002,816259,Billion Btu
NY,2001,802148,Billion Btu
NY,2000,777274,Billion Btu
NY,1999,823741,Billion Btu
NY,1998,805749,Billion Btu
NY,1997,819671,Billion Btu
NY,1996,829662,Billion Btu
NY,1995,688658,Billion Btu
NY,1994,737535,Billion Btu
NY,1993,727483,Billion Btu
NY,1992,674567,Billion Btu
NY,1991,703195,Billion Btu
NY,1990,669113,Billion Btu
NY,1989,644729,Billion Btu
NY,1988,649352,Billion Btu
NY,1987,670002,Billion Btu
NY,1986,698546,Billion Btu
NY,1985,710139,Billion Btu
NY,1984,670047,Billion Btu
NY,1983,637603,Billion Btu
NY,1982,578391,Billion Btu
NY,1981,627581,Billion Btu
NY,1980,635743,Billion Btu
NY,1979,590397,Billion Btu
NY,1978,611301,Billion Btu
NY,1977,579470,Billion Btu
NY,1976,555822,Billion Btu
NY,1975,512104,Billion Btu
NY,1974,476780,Billion Btu
NY,1973,453762,Billion Btu
NY,1972,427421,Billion Btu
NY,1971,406058,Billion Btu
NY,1970,382753,Billion Btu
NY,1969,365937,Billion Btu
NY,1968,346053,Billion Btu
NY,1967,330339,Billion Btu
NY,1966,310674,Billion Btu
NY,1965,284204,Billion Btu
NY,1964,266024,Billion Btu
NY,1963,280859,Billion Btu
NY,1962,292252,Billion Btu
NY,1961,266311,Billion Btu
NY,1960,204924,Billion Btu
NC,2016,648808,Billion Btu
NC,2015,615385,Billion Btu
NC,2014,602124,Billion Btu
NC,2013,612428,Billion Btu
NC,2012,564889,Billion Btu
NC,2011,577189,Billion Btu
NC,2010,579748,Billion Btu
NC,2009,575724,Billion Btu
NC,2008,558443,Billion Btu
NC,2007,532719,Billion Btu
NC,2006,553642,Billion Btu
NC,2005,562525,Billion Btu
NC,2004,557860,Billion Btu
NC,2003,607883,Billion Btu
NC,2002,539009,Billion Btu
NC,2001,521833,Billion Btu
NC,2000,544289,Billion Btu
NC,1999,531852,Billion Btu
NC,1998,566450,Billion Btu
NC,1997,505382,Billion Btu
NC,1996,525514,Billion Btu
NC,1995,546020,Billion Btu
NC,1994,524887,Billion Btu
NC,1993,406871,Billion Btu
NC,1992,397954,Billion Btu
NC,1991,455078,Billion Btu
NC,1990,442851,Billion Btu
NC,1989,476814,Billion Btu
NC,1988,424322,Billion Btu
NC,1987,433531,Billion Btu
NC,1986,328722,Billion Btu
NC,1985,341806,Billion Btu
NC,1984,379256,Billion Btu
NC,1983,284453,Billion Btu
NC,1982,244359,Billion Btu
NC,1981,177049,Billion Btu
NC,1980,198907,Billion Btu
NC,1979,265719,Billion Btu
NC,1978,267673,Billion Btu
NC,1977,207562,Billion Btu
NC,1976,164716,Billion Btu
NC,1975,155305,Billion Btu
NC,1974,139607,Billion Btu
NC,1973,142789,Billion Btu
NC,1972,135756,Billion Btu
NC,1971,128148,Billion Btu
NC,1970,111796,Billion Btu
NC,1969,119495,Billion Btu
NC,1968,117146,Billion Btu
NC,1967,118616,Billion Btu
NC,1966,114335,Billion Btu
NC,1965,123608,Billion Btu
NC,1964,131745,Billion Btu
NC,1963,116481,Billion Btu
NC,1962,127402,Billion Btu
NC,1961,120692,Billion Btu
NC,1960,127507,Billion Btu
ND,2016,3497535,Billion Btu
ND,2015,3673475,Billion Btu
ND,2014,3254422,Billion Btu
ND,2013,2623151,Billion Btu
ND,2012,2130164,Billion Btu
ND,2011,1514901,Billion Btu
ND,2010,1250694,Billion Btu
ND,2009,1014552,Billion Btu
ND,2008,870666,Billion Btu
ND,2007,762360,Billion Btu
ND,2006,724485,Billion Btu
ND,2005,690673,Billion Btu
ND,2004,667906,Billion Btu
ND,2003,667147,Billion Btu
ND,2002,672993,Billion Btu
ND,2001,671200,Billion Btu
ND,2000,690675,Billion Btu
ND,1999,696137,Billion Btu
ND,1998,692380,Billion Btu
ND,1997,700136,Billion Btu
ND,1996,678795,Billion Btu
ND,1995,658491,Billion Btu
ND,1994,679015,Billion Btu
ND,1993,690824,Billion Btu
ND,1992,695583,Billion Btu
ND,1991,686679,Billion Btu
ND,1990,689480,Billion Btu
ND,1989,690983,Billion Btu
ND,1988,717477,Billion Btu
ND,1987,675146,Billion Btu
ND,1986,700556,Billion Btu
ND,1985,767776,Billion Btu
ND,1984,710775,Billion Btu
ND,1983,660892,Billion Btu
ND,1982,606712,Billion Btu
ND,1981,582403,Billion Btu
ND,1980,538818,Billion Btu
ND,1979,432307,Billion Btu
ND,1978,395151,Billion Btu
ND,1977,347508,Billion Btu
ND,1976,341524,Billion Btu
ND,1975,294273,Billion Btu
ND,1974,280165,Billion Btu
ND,1973,270552,Billion Btu
ND,1972,279099,Billion Btu
ND,1971,281767,Billion Btu
ND,1970,276052,Billion Btu
ND,1969,267375,Billion Btu
ND,1968,282879,Billion Btu
ND,1967,282336,Billion Btu
ND,1966,283817,Billion Btu
ND,1965,260710,Billion Btu
ND,1964,248232,Billion Btu
ND,1963,234514,Billion Btu
ND,1962,228115,Billion Btu
ND,1961,214048,Billion Btu
ND,1960,197457,Billion Btu
OH,2016,2410570,Billion Btu
OH,2015,2075992,Billion Btu
OH,2014,1549972,Billion Btu
OH,2013,1152338,Billion Btu
OH,2012,1070577,Billion Btu
OH,2011,1071032,Billion Btu
OH,2010,1036459,Billion Btu
OH,2009,1044810,Billion Btu
OH,2008,1045923,Billion Btu
OH,2007,898873,Billion Btu
OH,2006,910333,Billion Btu
OH,2005,935378,Billion Btu
OH,2004,914363,Billion Btu
OH,2003,805667,Billion Btu
OH,2002,799356,Billion Btu
OH,2001,951073,Billion Btu
OH,2000,930384,Billion Btu
OH,1999,925533,Billion Btu
OH,1998,1057206,Billion Btu
OH,1997,1095988,Billion Btu
OH,1996,1072326,Billion Btu
OH,1995,1048594,Billion Btu
OH,1994,1094230,Billion Btu
OH,1993,1035810,Billion Btu
OH,1992,1155351,Billion Btu
OH,1991,1163958,Billion Btu
OH,1990,1232801,Billion Btu
OH,1989,1254402,Billion Btu
OH,1988,1257327,Billion Btu
OH,1987,1285494,Billion Btu
OH,1986,1241913,Billion Btu
OH,1985,1259635,Billion Btu
OH,1984,1372227,Billion Btu
OH,1983,1218392,Billion Btu
OH,1982,1220791,Billion Btu
OH,1981,1234539,Billion Btu
OH,1980,1227811,Billion Btu
OH,1979,1278865,Billion Btu
OH,1978,1195158,Billion Btu
OH,1977,1283144,Billion Btu
OH,1976,1228613,Billion Btu
OH,1975,1208179,Billion Btu
OH,1974,1192547,Billion Btu
OH,1973,1225255,Billion Btu
OH,1972,1386992,Billion Btu
OH,1971,1379916,Billion Btu
OH,1970,1453233,Billion Btu
OH,1969,1361204,Billion Btu
OH,1968,1285783,Billion Btu
OH,1967,1219004,Billion Btu
OH,1966,1165689,Billion Btu
OH,1965,1074454,Billion Btu
OH,1964,1043677,Billion Btu
OH,1963,973973,Billion Btu
OH,1962,909007,Billion Btu
OH,1961,862418,Billion Btu
OH,1960,901866,Billion Btu
OK,2016,4004641,Billion Btu
OK,2015,4023984,Billion Btu
OK,2014,3703340,Billion Btu
OK,2013,3166872,Billion Btu
OK,2012,2996505,Billion Btu
OK,2011,2716285,Billion Btu
OK,2010,2578993,Billion Btu
OK,2009,2605676,Billion Btu
OK,2008,2599173,Billion Btu
OK,2007,2458990,Billion Btu
OK,2006,2352428,Billion Btu
OK,2005,2286466,Billion Btu
OK,2004,2319063,Billion Btu
OK,2003,2183881,Billion Btu
OK,2002,2221272,Billion Btu
OK,2001,2295579,Billion Btu
OK,2000,2279890,Billion Btu
OK,1999,2281805,Billion Btu
OK,1998,2388864,Billion Btu
OK,1997,2456333,Billion Btu
OK,1996,2528380,Billion Btu
OK,1995,2614763,Billion Btu
OK,1994,2784723,Billion Btu
OK,1993,2943309,Billion Btu
OK,1992,2929503,Billion Btu
OK,1991,3089315,Billion Btu
OK,1990,3230219,Billion Btu
OK,1989,3238292,Billion Btu
OK,1988,3265950,Billion Btu
OK,1987,3211304,Billion Btu
OK,1986,3183575,Billion Btu
OK,1985,3297430,Billion Btu
OK,1984,3385790,Billion Btu
OK,1983,3052993,Billion Btu
OK,1982,3254565,Billion Btu
OK,1981,3289613,Billion Btu
OK,1980,3103547,Billion Btu
OK,1979,3004732,Billion Btu
OK,1978,2970256,Billion Btu
OK,1977,2993830,Billion Btu
OK,1976,2893518,Billion Btu
OK,1975,2788583,Billion Btu
OK,1974,2936169,Billion Btu
OK,1973,3131399,Billion Btu
OK,1972,3263953,Billion Btu
OK,1971,3153802,Billion Btu
OK,1970,3125228,Billion Btu
OK,1969,3044300,Billion Btu
OK,1968,2870055,Billion Btu
OK,1967,2920010,Billion Btu
OK,1966,2817147,Billion Btu
OK,1965,2666433,Billion Btu
OK,1964,2660244,Billion Btu
OK,1963,2557794,Billion Btu
OK,1962,2379788,Billion Btu
OK,1961,2143063,Billion Btu
OK,1960,2072617,Billion Btu
OR,2016,457191,Billion Btu
OR,2015,431350,Billion Btu
OR,2014,485600,Billion Btu
OR,2013,464024,Billion Btu
OR,2012,499534,Billion Btu
OR,2011,517200,Billion Btu
OR,2010,397788,Billion Btu
OR,2009,416479,Billion Btu
OR,2008,415254,Billion Btu
OR,2007,397326,Billion Btu
OR,2006,433651,Billion Btu
OR,2005,364534,Billion Btu
OR,2004,385096,Billion Btu
OR,2003,385219,Billion Btu
OR,2002,401491,Billion Btu
OR,2001,351088,Billion Btu
OR,2000,437913,Billion Btu
OR,1999,511188,Billion Btu
OR,1998,455462,Billion Btu
OR,1997,531821,Billion Btu
OR,1996,518947,Billion Btu
OR,1995,469164,Billion Btu
OR,1994,371346,Billion Btu
OR,1993,418080,Billion Btu
OR,1992,424764,Billion Btu
OR,1991,502821,Billion Btu
OR,1990,554563,Billion Btu
OR,1989,540346,Billion Btu
OR,1988,541864,Billion Btu
OR,1987,526399,Billion Btu
OR,1986,612360,Billion Btu
OR,1985,607232,Billion Btu
OR,1984,644766,Billion Btu
OR,1983,614386,Billion Btu
OR,1982,614175,Billion Btu
OR,1981,499664,Billion Btu
OR,1980,459978,Billion Btu
OR,1979,436189,Billion Btu
OR,1978,425750,Billion Btu
OR,1977,397686,Billion Btu
OR,1976,457596,Billion Btu
OR,1975,417411,Billion Btu
OR,1974,432867,Billion Btu
OR,1973,351043,Billion Btu
OR,1972,435930,Billion Btu
OR,1971,419311,Billion Btu
OR,1970,371350,Billion Btu
OR,1969,350230,Billion Btu
OR,1968,271743,Billion Btu
OR,1967,243110,Billion Btu
OR,1966,232649,Billion Btu
OR,1965,230410,Billion Btu
OR,1964,215793,Billion Btu
OR,1963,199225,Billion Btu
OR,1962,197646,Billion Btu
OR,1961,188915,Billion Btu
OR,1960,190489,Billion Btu
PA,2016,7887773,Billion Btu
PA,2015,7466903,Billion Btu
PA,2014,7148949,Billion Btu
PA,2013,5882640,Billion Btu
PA,2012,4738426,Billion Btu
PA,2011,3878979,Billion Btu
PA,2010,3072420,Billion Btu
PA,2009,2678366,Billion Btu
PA,2008,2754011,Billion Btu
PA,2007,2680521,Billion Btu
PA,2006,2675211,Billion Btu
PA,2005,2698967,Billion Btu
PA,2004,2738355,Billion Btu
PA,2003,2665769,Billion Btu
PA,2002,2803426,Billion Btu
PA,2001,2943769,Billion Btu
PA,2000,2994308,Billion Btu
PA,1999,3038150,Billion Btu
PA,1998,3033214,Billion Btu
PA,1997,2899144,Billion Btu
PA,1996,2769492,Billion Btu
PA,1995,2540923,Billion Btu
PA,1994,2576309,Billion Btu
PA,1993,2430780,Billion Btu
PA,1992,2707133,Billion Btu
PA,1991,2567645,Billion Btu
PA,1990,2734821,Billion Btu
PA,1989,2550426,Billion Btu
PA,1988,2524877,Billion Btu
PA,1987,2469436,Billion Btu
PA,1986,2568902,Billion Btu
PA,1985,2443585,Billion Btu
PA,1984,2565990,Billion Btu
PA,1983,2259530,Billion Btu
PA,1982,2510746,Billion Btu
PA,1981,2590734,Billion Btu
PA,1980,2754250,Billion Btu
PA,1979,2817141,Billion Btu
PA,1978,2624011,Billion Btu
PA,1977,2656280,Billion Btu
PA,1976,2693107,Billion Btu
PA,1975,2600519,Billion Btu
PA,1974,2405291,Billion Btu
PA,1973,2272244,Billion Btu
PA,1972,2334285,Billion Btu
PA,1971,2293855,Billion Btu
PA,1970,2533833,Billion Btu
PA,1969,2477570,Billion Btu
PA,1968,2441040,Billion Btu
PA,1967,2555545,Billion Btu
PA,1966,2621381,Billion Btu
PA,1965,2634472,Billion Btu
PA,1964,2589342,Billion Btu
PA,1963,2498460,Billion Btu
PA,1962,2301652,Billion Btu
PA,1961,2261652,Billion Btu
PA,1960,2391326,Billion Btu
RI,2016,4114,Billion Btu
RI,2015,4109,Billion Btu
RI,2014,4404,Billion Btu
RI,2013,2681,Billion Btu
RI,2012,2879,Billion Btu
RI,2011,3444,Billion Btu
RI,2010,3424,Billion Btu
RI,2009,3543,Billion Btu
RI,2008,2946,Billion Btu
RI,2007,2780,Billion Btu
RI,2006,2630,Billion Btu
RI,2005,879,Billion Btu
RI,2004,3846,Billion Btu
RI,2003,3787,Billion Btu
RI,2002,3699,Billion Btu
RI,2001,3898,Billion Btu
RI,2000,4520,Billion Btu
RI,1999,4403,Billion Btu
RI,1998,4197,Billion Btu
RI,1997,4347,Billion Btu
RI,1996,5562,Billion Btu
RI,1995,5079,Billion Btu
RI,1994,5066,Billion Btu
RI,1993,5181,Billion Btu
RI,1992,4840,Billion Btu
RI,1991,4585,Billion Btu
RI,1990,4499,Billion Btu
RI,1989,3806,Billion Btu
RI,1988,3528,Billion Btu
RI,1987,3302,Billion Btu
RI,1986,4653,Billion Btu
RI,1985,5081,Billion Btu
RI,1984,4946,Billion Btu
RI,1983,7401,Billion Btu
RI,1982,6053,Billion Btu
RI,1981,6645,Billion Btu
RI,1980,7287,Billion Btu
RI,1979,7124,Billion Btu
RI,1978,6577,Billion Btu
RI,1977,5295,Billion Btu
RI,1976,4704,Billion Btu
RI,1975,4050,Billion Btu
RI,1974,5023,Billion Btu
RI,1973,5108,Billion Btu
RI,1972,4934,Billion Btu
RI,1971,4851,Billion Btu
RI,1970,5268,Billion Btu
RI,1969,4428,Billion Btu
RI,1968,4266,Billion Btu
RI,1967,4150,Billion Btu
RI,1966,3771,Billion Btu
RI,1965,3561,Billion Btu
RI,1964,3533,Billion Btu
RI,1963,3221,Billion Btu
RI,1962,3139,Billion Btu
RI,1961,3011,Billion Btu
RI,1960,2951,Billion Btu
SC,2016,710358,Billion Btu
SC,2015,686045,Billion Btu
SC,2014,685012,Billion Btu
SC,2013,700910,Billion Btu
SC,2012,653840,Billion Btu
SC,2011,669349,Billion Btu
SC,2010,657887,Billion Btu
SC,2009,648429,Billion Btu
SC,2008,633034,Billion Btu
SC,2007,653011,Billion Btu
SC,2006,628681,Billion Btu
SC,2005,658748,Billion Btu
SC,2004,631351,Billion Btu
SC,2003,629249,Billion Btu
SC,2002,637467,Billion Btu
SC,2001,591367,Billion Btu
SC,2000,623170,Billion Btu
SC,1999,627968,Billion Btu
SC,1998,641492,Billion Btu
SC,1997,603327,Billion Btu
SC,1996,589421,Billion Btu
SC,1995,641366,Billion Btu
SC,1994,579392,Billion Btu
SC,1993,595393,Billion Btu
SC,1992,587462,Billion Btu
SC,1991,559611,Billion Btu
SC,1990,559868,Billion Btu
SC,1989,528627,Billion Btu
SC,1988,514420,Billion Btu
SC,1987,505923,Billion Btu
SC,1986,466664,Billion Btu
SC,1985,404650,Billion Btu
SC,1984,332214,Billion Btu
SC,1983,354360,Billion Btu
SC,1982,214820,Billion Btu
SC,1981,243288,Billion Btu
SC,1980,261030,Billion Btu
SC,1979,289748,Billion Btu
SC,1978,296747,Billion Btu
SC,1977,266529,Billion Btu
SC,1976,280539,Billion Btu
SC,1975,302097,Billion Btu
SC,1974,203301,Billion Btu
SC,1973,151111,Billion Btu
SC,1972,129188,Billion Btu
SC,1971,104730,Billion Btu
SC,1970,65140,Billion Btu
SC,1969,73251,Billion Btu
SC,1968,69381,Billion Btu
SC,1967,66271,Billion Btu
SC,1966,68551,Billion Btu
SC,1965,78226,Billion Btu
SC,1964,88026,Billion Btu
SC,1963,69832,Billion Btu
SC,1962,73455,Billion Btu
SC,1961,76284,Billion Btu
SC,1960,81969,Billion Btu
SD,2016,234526,Billion Btu
SD,2015,227130,Billion Btu
SD,2014,249137,Billion Btu
SD,2013,237030,Billion Btu
SD,2012,243435,Billion Btu
SD,2011,248494,Billion Btu
SD,2010,225510,Billion Btu
SD,2009,191129,Billion Btu
SD,2008,155819,Billion Btu
SD,2007,126148,Billion Btu
SD,2006,123693,Billion Btu
SD,2005,102808,Billion Btu
SD,2004,92723,Billion Btu
SD,2003,75918,Billion Btu
SD,2002,63264,Billion Btu
SD,2001,49691,Billion Btu
SD,2000,71314,Billion Btu
SD,1999,80564,Billion Btu
SD,1998,71472,Billion Btu
SD,1997,105290,Billion Btu
SD,1996,95485,Billion Btu
SD,1995,75271,Billion Btu
SD,1994,66965,Billion Btu
SD,1993,40263,Billion Btu
SD,1992,51570,Billion Btu
SD,1991,54098,Billion Btu
SD,1990,54866,Billion Btu
SD,1989,66136,Billion Btu
SD,1988,73093,Billion Btu
SD,1987,72713,Billion Btu
SD,1986,75446,Billion Btu
SD,1985,71685,Billion Btu
SD,1984,73511,Billion Btu
SD,1983,70236,Billion Btu
SD,1982,69312,Billion Btu
SD,1981,65375,Billion Btu
SD,1980,69403,Billion Btu
SD,1979,73636,Billion Btu
SD,1978,77846,Billion Btu
SD,1977,60799,Billion Btu
SD,1976,77423,Billion Btu
SD,1975,86697,Billion Btu
SD,1974,63259,Billion Btu
SD,1973,53129,Billion Btu
SD,1972,79609,Billion Btu
SD,1971,83910,Billion Btu
SD,1970,71113,Billion Btu
SD,1969,68335,Billion Btu
SD,1968,60912,Billion Btu
SD,1967,54570,Billion Btu
SD,1966,53056,Billion Btu
SD,1965,42866,Billion Btu
SD,1964,35078,Billion Btu
SD,1963,33031,Billion Btu
SD,1962,18232,Billion Btu
SD,1961,15196,Billion Btu
SD,1960,15866,Billion Btu
TN,2016,489650,Billion Btu
TN,2015,479072,Billion Btu
TN,2014,505397,Billion Btu
TN,2013,551253,Billion Btu
TN,2012,473054,Billion Btu
TN,2011,511186,Billion Btu
TN,2010,509393,Billion Btu
TN,2009,518586,Billion Btu
TN,2008,482365,Billion Btu
TN,2007,489761,Billion Btu
TN,2006,476871,Billion Btu
TN,2005,543466,Billion Btu
TN,2004,561169,Billion Btu
TN,2003,511002,Billion Btu
TN,2002,526516,Billion Btu
TN,2001,529706,Billion Btu
TN,2000,464215,Billion Btu
TN,1999,498129,Billion Btu
TN,1998,529550,Billion Btu
TN,1997,509140,Billion Btu
TN,1996,512947,Billion Btu
TN,1995,416393,Billion Btu
TN,1994,391608,Billion Btu
TN,1993,269548,Billion Btu
TN,1992,426799,Billion Btu
TN,1991,467007,Billion Btu
TN,1990,475365,Billion Btu
TN,1989,538388,Billion Btu
TN,1988,359942,Billion Btu
TN,1987,341748,Billion Btu
TN,1986,334524,Billion Btu
TN,1985,464327,Billion Btu
TN,1984,533095,Billion Btu
TN,1983,519810,Billion Btu
TN,1982,489846,Billion Btu
